id,err_sentence,cor_sentence,ground_truth
grm2210190108963,최저 못 맞추고 떨어졌는데 올해도 불안불안하구먼요,최저 못 맞추고 떨어졌는데 올해도 불안불안하고요.,최저 못 맞추고 떨어졌는데 올해도 불안불안하구먼요.
grm2207010029101,안올리면 제가 밥사준다.,안 올리면 제가 밥 사준다.,안 올리면 내가 밥 사준다.
grm2207080028061,국의수업방식을경험한다는것이 진짜 매력적인것갔아욤,국어의 수업방식을 경험한다는 것이 진짜 매력적인 것 같아요.,국의 수업방식을 경험한다는 것이 진짜 매력적인 것 같아요.
grm2210050106555,담학기까지의 계획을 세워보자,다음 학기까지의 계획을 세워보자.,다음 학기까지의 계획을 세워보자
grm2209130111638,욕심을 줄이고 내가 할 수 있는만큼 최선을 다해야겠어요,욕심을 줄이고 내가 할 수 있는 만큼 최선을 다해야겠어요!,욕심을 줄이고 내가 할 수 있는 만큼 최선을 다해야겠어요.
grm2208010063413,타 교재에관련됀 질문해서죄송함니다.,다른 교재에 관련된 질문해서 죄송합니다.,타 교재에 관련된 질문해서 죄송합니다.
grm2206300010069,"미성년자면 술이랑 다 못마시고 모임,엠티 그런데도 못나가는건가요","미성년자면 술이랑 다 못 마시고 모임, 엠티 그런데도 못 나가는 건가요?","미성년자이면 술이랑 다 못 마시고 모임, 엠티 그런데도 못 나가는 건가요?"
grm2207190026337,모의구사는정말 과몰입하시면안됩니다.,모의고사는 정말 과몰입하시면 안 됩니다.,모의고사는 정말 과몰입하시면 안됩니다.
grm2210210113796,숫자바꿔서 예상문제로 내면 되는데요,숫자 바꿔서 예상 문제로 내면 되는데요?,숫자 바꿔서 예상문제로 내면 되는데요.
grm2209200116073,올해는 아마 법학 나올텐데 어디분야랑 섞을지가 궁금함,올해는 아마 법학이 나올 텐데 어디 분야랑 섞을지가 궁금합니다.,올해는 아마 법학이 나올 텐데 어디 분야랑 섞을지가 궁금함.
grm2208190042632,자아와 자아의 동일성은 가튼말이라구 쓴거라면요,자아와 자아의 동일성은 같은말이라고 쓴 거라면요?,자아와 자아의 동일성은 같은 말이라고 쓴 거라면요.
grm2209200109628,내신기간이여도 애들이 떠들면 왠지 공부하기 싫어져요,내신 기간이어도 애들이 떠들면 왠지 공부하기 싫어져요.,내신기간이어도 애들이 떠들면 왠지 공부하기 싫어져요.
